赤シャツ	4388.318427587345
清	444.48622025885123
人	364.0
学校	273.6640275958826
生徒	249.4153162899183
校長	235.7244153667583
野	219.59735881836102
山嵐	217.78888860545666
先生	203.6467529817257
教師	152.73506473629425
下宿	143.30038380967443
気	129.6919426949878
顔	108.89444430272833
目	104.57055034760026
自分	93.53074360871936
手	93.33809511662427
東京	93.33809511662427
江戸っ子	91.6515138991168
田舎	87.63560920082658
通り	84.24962907930218
送別会	84.03223362814944
古賀	80.83316151184486
新聞	78.0
男	74.95331880577405
マドンナ	70.71067811865476
宿直	69.57010852370435
喧嘩	67.54998149518622
金	67.0820393249937
教頭	64.08587988004845
シャツ	63.686733312362634
口	61.23724356957945
新聞屋	60.30664125902114
言葉	60.0
控所	56.85764664645104
頭	56.0
部屋	55.560777532356404
田舎者	53.34838230116769
眼	52.0
文学士	51.21737396709887
天麩羅	50.34878350069642
山城屋	49.81901975348543
下	48.0
るい	48.0
団子	47.62352359916263
人間	46.76537180435968
堀田	46.54030511288038
赤	46.08687448721165
声	46.0
あと	41.01219330881976
一つ	40.0
芸者	39.59797974644666
赤手拭	38.40286426284858
話	38.1051177665153
バッタ	36.76955262170048
蕎麦屋	36.32880124842109
狸	35.0
蕎麦	34.29285639896449
月給	33.941125496954285
温泉	33.941125496954285
寄宿生	32.724987913880376
癖	32.526911934581186
向う	30.0
釣	29.393876913398135
都合	29.393876913398135
湯	29.1032644217105
婆さん	29.0
兄	28.0
奴	26.870057685088806
団子屋	26.69763351752436
面	26.0
例	25.455844122715714
踴	24.49489742783178
返事	24.041630560342618
女	24.0
事件	24.0
事	22.9128784747792
心	22.627416997969522
代り	22.516660498395403
風	22.516660498395403
家	22.0
港屋	21.406951429280724
坊っちゃん	21.213203435596427
足	21.213203435596427
おやじ	21.0
手紙	21.0
糸	20.784609690826528
会議	20.784609690826528
文学者	20.702939704120855
賞め	20.597671439071178
料理屋	20.365839160174644
尻	20.12461179749811
貴様	20.0
先	20.0
相違	20.0
職員	20.0
外	19.79898987322333
喋舌	19.79898987322333
湯壺	19.51891874037343
いっしょ	19.0
下女	18.38477631085024
海	18.0
机	18.0
挨拶	18.0
校長室	17.613683349878055
送別	17.435595774162696
宿直部屋	17.355045651114466
訳	17.32050807568877
町	17.0
心持ち	17.0
心配	16.970562748477143
鼻	16.970562748477143
いたずら	16.970562748477143
笹飴	16.413388798408565
枡屋	16.362493956940188
ハイカラ野郎	16.265765616977856
腹	16.0
教育	16.0
教場	16.0
るい事	15.730832385084248
等	15.588457268119894
芋	15.588457268119894
中学	15.556349186104047
角屋	15.556349186104047
師範生	15.474691362141355
宿屋	15.0
座敷	15.0
事赤シャツ	14.981614867576226
野郎	14.966629547095765
日	14.696938456699067
吾	14.696938456699067
精神的娯楽	14.277542318588539
右	14.0
意味	14.0
中学校	14.0
世話	14.0
汽車	14.0
様子	14.0
連中	14.0
石	13.856406460551018
車	13.856406460551018
一同	13.856406460551018
談判	13.416407864998739
祝勝会	13.37480609952844
嘘	13.0
授業	13.0
床	13.0
露西亜文学	12.844170857568436
商買	12.728649475109153
野芹川	12.728649475109153
玄関	12.727922061357857
音	12.727922061357857
宿	12.727922061357857
浜	12.727922061357857
延岡	12.727922061357857
赤ふん	12.635252919819248
革鞄	12.24744871391589
茶	12.24744871391589
乱暴	12.12435565298214
辺	12.12435565298214
小使	12.0
苦	12.0
手拭	12.0
大分	12.0
袴	12.0
銭	12.0
世の中	12.0
め	12.0
辞表	12.0
物理学校	11.651802520975762
海屋	11.606018521606016
供	11.313708498984761
庭	11.313708498984761
主人	11.313708498984761
切符	11.313708498984761
吉川	11.313708498984761
船	11.313708498984761
お婆さん	11.313708498984761
銀	11.313708498984761
師範	11.313708498984761
気狂	11.28180927925918
真中	11.0
母	11.0
うち	11.0
数学	11.0
ところ	11.0
赤シャツ党	10.832007577061862
下宿屋	10.76712654191059
処分	10.392304845413264
馬鹿気	10.31937188475118
赤シャツ相当	10.12419291441458
赤シャツ賛成	10.12419291441458
赤シャツ自身	10.12419291441458
赤シャツ退治	10.12419291441458
腰	10.0
首	10.0
骨	10.0
勘太郎	10.0
了見	10.0
考え	10.0
甥	10.0
辞令	10.0
亭主	10.0
時分	9.899494936611665
色	9.899494936611665
癪	9.899494936611665
横	9.899494936611665
有	9.899494936611665
増給	9.899494936611665
二つ	9.797958971132712
いくら	9.797958971132712
骨董	9.797958971132712
いかさま師	9.72919711639115
前任者	9.671129386411877
赤手拭赤手拭	9.600716065712145
画	9.486832980505138
師範学校	9.390507480439723
吾人	9.390507480439723
尻持	9.361389277282864
日清談判	9.215122985923605
文学	9.16515138991168
飯	9.0
こいつ	9.0
門	9.0
馳	9.0
騒動	9.0
月	9.0
身	8.94427190999916
こん畜生	8.94427190999916
鄭寧	8.94427190999916
抜き身	8.94427190999916
天麩羅蕎麦	8.711754349385725
英語	8.485281374238571
年	8.485281374238571
屋敷	8.485281374238571
精神	8.485281374238571
坊主	8.485281374238571
舌	8.485281374238571
ぼん	8.485281374238571
策	8.485281374238571
責任	8.485281374238571
傍	8.485281374238571
所	8.48528137423857
理由	8.0
弱虫	8.0
次	8.0
そん	8.0
気味	8.0
人物	8.0
停車場	8.0
小僧	8.0
茶代	8.0
最初	8.0
だい	8.0
法	8.0
上等	8.0
相手	8.0
肩	8.0
松	8.0
ゴルキ	8.0
露西亜	8.0
日本	8.0
奥さん	8.0
太鼓	8.0
弟	8.0
障子	8.0
画学	7.977443845417483
帝国文学	7.968565207460511
大方清	7.7373456810706775
古賀先生	7.4448388728167965
